Item,Item_original,Condition,Sentence,LastWord,original_dataset,RT_Control,RT_Patient,Gap_Cost,Selection_Criteria,number_letters,word_frequency,spelling_modified,cloze_probability,Meaningful,word_count,log_word_freq,block_order
74,130,Switching,Eric was worried that his car didn't have enough,oil,peele,0.266981060588235,0.419547459125,0.152566398536765,Biggest Gap,3,83135749,no,0.86,TRUE,9,7.91978781385504,1
76,104,Switching,The gentleman on the bus offered the child his,snack,peele,0.202235040494118,0.333052944846154,0.130817904352036,Biggest Gap,5,3851856,no,0.9,TRUE,9,6.58567004284129,1
78,112,Switching,"After weeks at sea, the bottle washed up onto the",rocks,peele,0.168907260623529,0.2838835533125,0.114976292688971,Biggest Gap,5,12463155,yes,0.83,TRUE,10,7.09562799622728,1
80,123,Switching,After missing lunch Harry badly needed some,rest,peele,0.208975071014706,0.317479791166667,0.108504720151961,Biggest Gap,4,53534781,no,0.84,TRUE,7,7.72863603040378,1
82,140,Switching,Kelly believed that everything was determined by,looks,peele,0.186868848875,0.28839014985,0.101521300975,Biggest Gap,5,44159268,no,0.83,TRUE,7,7.64502186575838,1
84,127,Switching,Ollie was tired of the radio playing the same,songs,peele,0.145027782152941,0.238787612470588,0.0937598303176471,Biggest Gap,5,49747608,no,0.84,TRUE,9,7.69677220352646,1
86,126,Switching,"At the rock concert, the music was extremely",good,peele,0.231615949161765,0.322640226515625,0.0910242773538603,Biggest Gap,4,383787805,no,0.98,TRUE,8,8.58409117075028,1
88,91,Switching,"After washing his hands, Brandon dried them with a",napkin,peele,0.144825365333333,0.221738908066667,0.0769135427333333,Biggest Gap,6,1009668,no,0.96,TRUE,9,6.00417859212814,1
90,137,Switching,Daniel was upset that his basketball team didn't,compete,peele,0.123079094205357,0.198152746409524,0.0750736522041667,Biggest Gap,7,9274206,no,0.91,TRUE,8,6.96727673827853,1
92,124,Switching,The elementary school girl loved to hula,dance,peele,0.154690509270588,0.227254141775,0.0725636325044118,Biggest Gap,5,51387258,no,0.83,TRUE,7,7.71085544455343,1
94,101,Switching,The little girl tripped and immediately began to,bleed,peele,0.164552788364706,0.228640881983333,0.0640880936186274,Biggest Gap,5,1991022,no,0.9,TRUE,8,6.29907605883495,1
96,144,Switching,The necklaces were what the thief intended to,sell,peele,0.284891528316667,0.34488738,0.0599958516833333,Biggest Gap,4,141076205,no,0.83,TRUE,8,8.14945376847684,1
98,105,Switching,"Soon after Janice stepped on the wet floor, she",stumbled,peele,0.0985173044705882,0.154846312133333,0.0563290076627451,Biggest Gap,8,1382824,no,0.82,TRUE,9,6.14076690845868,1
11,40,Predictable,"After raking the yard, Pat jumped into the pile of",leaves,block_baldwin,0.098060754245098,0.152077676541667,0.0540169222965686,Fastest_Baseline_Ctrl,6,22697689,no,0.92,TRUE,10,7.35598164108562,2
13,29,Predictable,The boat passed easily under the,bridge,block_baldwin,0.109169698970588,0.186308153489583,0.0771384545189951,Fastest_Baseline_Ctrl,6,35345740,no,0.89,TRUE,6,7.54833707850128,2
15,32,Predictable,The thief ran by and snatched the lady's,purse,block_baldwin,0.128450490705882,0.205165037047059,0.0767145463411765,Fastest_Baseline_Ctrl,5,5500366,no,0.87,TRUE,8,6.7403915888564,2
17,50,Predictable,John swept the floor with a,broom,block_baldwin,0.137212186517647,0.220337237929412,0.0831250514117647,Fastest_Baseline_Ctrl,5,1313376,no,0.9,TRUE,6,6.11838907593604,2
19,84,Predictable,Incredibly poor food service is my pet,peeve,peele,0.1404237039625,0.24922523795,0.1088015339875,Fastest_Baseline_Ctrl,5,213863,no,0.96,TRUE,7,5.33013565467076,2
21,33,Predictable,She threw away the old paper in the,trash,block_baldwin,0.14824137525,0.240765911942857,0.0925245366928572,Fastest_Baseline_Ctrl,5,7109005,no,0.89,TRUE,8,6.85180881968212,2
23,81,Predictable,The store employees knew it was illegal to,steal,block_baldwin,0.154251695294118,0.212384705,0.0581330097058824,Fastest_Baseline_Ctrl,5,6267924,no,0.87,TRUE,8,6.79712372190939,2
25,67,Predictable,Drivers should keep your eyes on the,road,block_baldwin,0.157670372632353,0.203895848233333,0.0462254756009804,Fastest_Baseline_Ctrl,4,134754203,yes,0.92,TRUE,7,8.1295423197678,2
27,65,Predictable,None of his books made any,sense,block_baldwin,0.158887068741177,0.23371021228,0.0748231435388235,Fastest_Baseline_Ctrl,5,53007762,no,0.87,TRUE,6,7.72433946859979,2
29,39,Predictable,He climbed a ladder in order to reshingle the,roof,block_baldwin,0.161342948588235,0.286557824546875,0.12521487595864,Fastest_Baseline_Ctrl,4,14851514,no,0.86,TRUE,9,7.17177072896163,2
31,53,Predictable,The maid dusted the books on the,shelf,block_baldwin,0.165394905564706,0.205370349917647,0.0399754443529412,Fastest_Baseline_Ctrl,5,11330977,no,0.93,TRUE,7,7.05426735800247,2
33,80,Predictable,The expensive tie was made of,silk,block_baldwin,0.165513904161765,0.240419575588235,0.0749056714264706,Fastest_Baseline_Ctrl,4,13137405,no,0.89,TRUE,6,7.11850958855105,2
35,38,Predictable,The kitten played with the ball of,yarn,block_baldwin,0.1667774635,0.22586257846875,0.05908511496875,Fastest_Baseline_Ctrl,4,5119178,no,0.94,TRUE,7,6.7092002307563,2
37,54,Predictable,"After driving over sharp glass, Ronald had a flat",tire,peele,0.174556282588235,0.266516629783333,0.091960347195098,Fastest_Baseline_Ctrl,4,9208689,no,1,TRUE,9,6.96419780602828,2
39,59,Predictable,The woman's shirt was so worn it had a,hole,block_baldwin,0.179774185235294,0.332987992125,0.153213806889706,Fastest_Baseline_Ctrl,4,26349274,no,0.86,TRUE,9,7.42076865362304,2
41,269,Meaningless,"While cooking, Luke accidentally cut himself with a",iceberg,peele,0.131889700848739,0.1574829275,0.0255932266512605,Median_Control,7,1226846,no,0.96,FALSE,8,6.0887900512782,2
43,290,Meaningless,The little girl was very afraid of the,cotton,block_baldwin,0.137256691845238,0.1985181186,0.0612614267547619,Median_Control,6,23426176,no,0.81,FALSE,8,7.36970140180063,2
45,295,Meaningless,The landlord did not like when the rent was,boring,block_baldwin,0.150438585125,0.185688727039216,0.0352501419142157,Median_Control,6,6610108,no,0.8,FALSE,9,6.82020855531331,2
47,300,Meaningless,She graduated at the top of her,lint,block_baldwin,0.175506507147059,0.243250056083333,0.0677435489362745,Median_Control,4,1056974,no,0.95,FALSE,7,6.02406430443571,2
49,274,Meaningless,"In the courtroom, the defendant was silenced by the",apple,peele,0.1800820290375,0.212360239,0.0322782099625,Median_Control,5,50913495,no,0.85,FALSE,9,7.7068329105733,2
51,282,Meaningless,He turned the page of his favorite,tiger,block_baldwin,0.187618818517647,0.2274645858,0.039845767282353,Median_Control,5,13806456,no,0.9,FALSE,7,7.14008221317899,2
53,271,Meaningless,He turned to see the dog charging like a,shirt,peele,0.196444648213333,0.198325929835294,0.00188128162196077,Median_Control,5,40728131,no,0.83,FALSE,9,7.60989448091805,2
55,280,Meaningless,The man presented his new fiancée with an expensive,salt,block_baldwin,0.202705828359375,0.273113757852941,0.0704079294935662,Median_Control,4,25429464,no,0.81,FALSE,9,7.40533720625139,2
57,303,Meaningless,A Dalmatian dog is recognized by its black and white,book,block_baldwin,0.20318369225,0.2644683835,0.06128469125,Median_Control,4,345413157,no,0.84,FALSE,10,8.53833887609094,2
59,275,Meaningless,"After saying goodbye, Tim gave his wife a quick",shave,peele,0.204134933705882,0.228315286814286,0.0241803531084034,Median_Control,5,2583608,no,0.84,FALSE,9,6.41222662064216,2
61,268,Meaningless,George sprinted out the door because he was in a,pear,peele,0.209218266367647,0.251857181616667,0.0426389152490196,Median_Control,4,4333394,no,0.87,FALSE,10,6.63682817766736,2
63,270,Meaningless,The cop entered the building and showed his,tour,peele,0.2225316561875,0.291342362828125,0.068810706640625,Median_Control,4,75960822,no,0.92,FALSE,8,7.88058965575077,2
65,291,Meaningless,The new officer was of a higher,ball,block_baldwin,0.227871669875,0.296478355234375,0.068606685359375,Median_Control,4,43872888,no,0.81,FALSE,7,7.64219622344487,2
67,276,Meaningless,The infant cried when she got stung by a,die,peele,0.243816699764706,0.315527602196078,0.0717109024313726,Median_Control,3,46929581,no,0.9,FALSE,9,7.67144667673113,2
69,281,Meaningless,The farmer spends the morning milking his,act,block_baldwin,0.259514410125,0.351444573392157,0.0919301632671569,Median_Control,3,144298238,yes,0.94,FALSE,7,8.15926102803355,2
71,118,Switching,"Married to a duchess, Max earned the title of",earl,peele,0.236817263910714,0.416008353104167,0.179191089193452,Biggest Gap,4,7098366,no,0.88,TRUE,9,6.85115838831707,2
73,142,Switching,Sam does not like desserts that are too,tart,peele,0.201511265897059,0.368318097,0.166806831102941,Biggest Gap,4,1364503,no,0.86,TRUE,8,6.13497449484799,2
75,102,Switching,"After swallowing too quickly, Simon began to",burp,peele,0.210176546544118,0.341385575384615,0.131209028840498,Biggest Gap,4,455109,no,0.82,TRUE,7,5.65811542397418,2
77,128,Switching,Chris said his dog had always been his best,pal,peele,0.298277399479167,0.427243341078431,0.128965941599265,Biggest Gap,3,10016948,no,0.95,TRUE,9,7.00073541926952,2
79,107,Switching,Paulina gave the huge lollipop a big,bite,peele,0.215430432823529,0.330156042982143,0.114725610158613,Biggest Gap,4,6067411,no,0.88,TRUE,7,6.78300341458908,2
81,119,Switching,The patient's broken arm took a while to,xray,peele,0.255740996983333,0.358058387359375,0.102317390376042,Biggest Gap,4,496284,no,0.88,TRUE,8,5.69573027394058,2
83,141,Switching,Lily had disliked him from the moment they,talked,peele,0.15754278154902,0.2549425813,0.0973997997509804,Biggest Gap,6,9614167,no,0.99,TRUE,8,6.98291166163999,2
85,122,Switching,It was announced that the two companies would,compete,peele,0.141250748,0.232610923630952,0.0913601756309524,Biggest Gap,7,9274206,yes,0.96,TRUE,9,6.96727673827853,2
87,132,Switching,Charles knew that the woman was out of his,class,peele,0.150491154364706,0.240940106025,0.0904489516602941,Biggest Gap,5,197874283,no,0.82,TRUE,9,8.29638935420164,2
89,125,Switching,Chocolate is made from the roasted cacao,seeds,peele,0.19178810525,0.2680188914,0.07623078615,Biggest Gap,5,11239247,no,0.84,TRUE,7,7.05073721561921,2
91,133,Switching,Their water source on the farm was the old,pond,peele,0.211039863779412,0.283729421779412,0.072689558,Biggest Gap,4,9246183,no,0.89,TRUE,9,6.96596248472219,2
93,136,Switching,Steven had been raised believing that lying was a,crime,peele,0.224441910494118,0.293068068753846,0.0686261582597285,Biggest Gap,5,40638766,no,0.91,TRUE,9,7.60894051208277,2
95,129,Switching,He knew about the prank they were trying to,complete,peele,0.126367078464286,0.189965289145833,0.0635982106815476,Biggest Gap,8,152155277,no,0.8,TRUE,9,8.18228701901584,2
97,98,Switching,"During the hike, Lila's feet hurt more with each",mile,peele,0.20819653209375,0.26655533675,0.05835880465625,Biggest Gap,4,22290799,no,0.98,TRUE,9,7.34812563577822,2
99,139,Switching,Suzy saw a sign that said babysitter for,weekends,peele,0.155451237515625,0.210188494598214,0.0547372570825893,Biggest Gap,8,9954499,no,0.88,TRUE,8,6.9980194073056,2
